,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Reprogram YOUR MIND for SUCCESS in 21 Days ! What to Say When You Talk to Yourself! | Yebook,15-10-2023,194318,13689,0,1105,Oct
1,MIDDLE Class MONEY TRAP To Financial FREEDOM | How To Get Out Of Middle Class Trap? | Yebook,14-10-2023,95069,7669,0,919,Oct
2,पानी पीने का सही तरीका | 21 दिन इस तरह पानी पियो शरीर में जो होगा हैरान रह जाओगे How to Drink Water,09-10-2023,360973,13103,0,1329,Oct
3,गुजराती की सफलता के रहस्य | Secrets of Gujrati Success | The Dhandho Investor Book Summary,01-10-2023,122736,6915,0,748,Oct
4,अपना Start-up करने से पहले ये जरूर देख लेना | The Dark Side of Startups by Arvind Arora | Yebook,24-09-2023,102922,6109,0,410,Sep
5,सस्ता Dopamine आपको मार रहा है | Cheap Dopamine : The Modern Day Devil is Ruining Your Life | Yebook,22-09-2023,107846,10325,0,1380,Sep
6,8 Neurobics Exercises For Increasing Brain Power | How To Increase Brain Power | How To Maximize Mem,18-09-2023,1093129,69788,0,9214,Sep
7,UNBELIEVABLE Story of David Goggins | How to Become UNSTOPPABLE | Can't Hurt Me Book Summary | Yeboo,15-09-2023,194933,13440,0,1456,Sep
8,6 Mind Traps : The Ultimate Guide to Your Most Common Thinking Errors | Mental Models and Fallacies,04-09-2023,189440,13181,0,1757,Sep
9,अगर तुम ADDICTION छोड़ नहीं सकते तो इसे देखो | How to Change Your Life in 21 Days Challenge|Lifestyle,31-08-2023,217154,13432,0,2640,Aug
10,Ladkiya Iss Ko Na Dekhen!! Please 🙏🔞 | Why High Value Men Ignores Women | Yebook,26-08-2023,327229,24238,0,5437,Aug
11,Why MBA Chai Wala Failed? 🔥 Case Study | Failed Business Model | Prafull Billore | Yebook,20-08-2023,718905,18460,0,1103,Aug
12,"आपका शरीर खा लेगा हर बीमारी को | Healing Miracle | Activate ""Self Eating Cell"" | Yebook",12-08-2023,828244,34328,0,1493,Aug
13,14 Mind Traps : The Ultimate Guide to Your Most Common Thinking Errors | Mental Models and Fallacies,10-08-2023,1052998,44807,0,2345,Aug
14,दिमाग की धुलाई | 21 Days Challenge (Your Brain Will Change) | Motivational Video,05-08-2023,246092,14228,0,1587,Aug
15,खुद का Best version बनें | Self development and the way to Power book summary in Hindi | #audiobook,30-07-2023,144316,9563,0,1174,Jul
16,लोन लेकर अमीर ऐसे बनो | मोटी कमाई | Powerful Motivational Video Ever 🔥🔥🔥 | Robert Kiyosaki,28-07-2023,1021549,38572,0,1078,Jul
17,स्मार्ट कैसे बने | Bholapan Kaise Dur Kare| भोलापन कैसे दूर करें? CHANT CHALAK KAISE BANE?,24-07-2023,716376,33424,0,1350,Jul
18,"Every Youth MUST WATCH this Motivational Video | Motivation For Students, Youngsters, and Teenagers",21-07-2023,2666560,167086,0,15767,Jul
19,ये 7 High Value Skills जीवन बदल देगी | Everyone MUST LEARN In 2023!,17-07-2023,376851,17978,0,863,Jul
20,WHY WALKING AWAY is ATTRACTIVE! (DO THIS NOW!) | The Power of Walking Away,07-07-2023,75145,5931,0,396,Jul
21,5 Most Powerful Hand Gestures You Should Have To Know - What is Hand Posture - Best Hand Mudras,02-07-2023,138562,8563,0,929,Jul
22,Why High Value Men IGNORE Women | 5 REASONS (MUST KNOW),28-06-2023,373930,18114,0,658,Jun
23,ग़रीबी से अमीरी का ये है रास्ता | How to Become Rich from Poor Background (Fast),25-06-2023,660760,30540,0,4538,Jun
24,एक आदत बदल लो सब कुछ बदल जाएगा | Change Just 1 Habit to Change Your Life | Dopamine Detox,18-06-2023,135102,9629,0,1004,Jun
25,कम बोलने की ताकत जान लो! The Power of Speaking Less | Quiet by Susan Cain |  Yebook,14-06-2023,809311,34617,0,1678,Jun
26,10 साल Goal सिर्फ 6 महीने में पुरा !!!🔥 BEST POWERFUL MOTIVATIONAL VIDEO EVER in Hindi | Yebook,10-06-2023,822091,45705,0,5162,Jun
27,कभी नहीं होगी बड़ी बीमारी | बस ये 4 काम करो | The Scientific Self Healing Process | Yebook,08-06-2023,659990,26329,0,1812,Jun
28,4 बातें आप को बनाती हैं Attractive | 4 Things That Make You Attractive | How to Become Attractive?,04-06-2023,58728,4912,0,229,Jun
29,7 Habits of Losers and Miserable People | How to Be Miserable and Ruin Your Life,27-05-2023,208833,13298,0,963,May
30,How To Achieve Financial Freedom In Your 20's | Top 5 Rules Of Money | Total Money Makeover Summary,21-05-2023,180303,13495,0,1087,May
31,Cold Read Statements,09-05-2023,57065,5975,0,43,May
32,Agreed?,07-05-2023,59106,6437,0,232,May
33,Motivation के झूठ का जाल!,07-05-2023,82420,5790,0,601,May
34,Communication Skill Technique,30-04-2023,80849,8209,0,48,Apr
35,बुद्धिमान व्यक्ति ये 7 बाते किसी को नहीं बताते | 7 Things To Keep Private | Yebook,30-04-2023,499414,16504,0,333,Apr
36,ये 10 किताबें पढ़ कर लोग स्मार्ट बन रहे हैं! 10 Books People Read To Get Smarter | Yebook,29-04-2023,58676,4610,0,527,Apr
37,5 मिनट में जानो आपके जीवन उद्देश्य | How to Find Your Life Purpose in 5 Minutes | Yebook,23-04-2023,161446,11000,0,337,Apr
38,This 90 Days Challenge Will Make You Unstoppable | Unbelievable Motivational Story of David Goggins,16-04-2023,584521,35888,0,4425,Apr
39,"THINKING, FAST AND SLOW BY DANIEL KAHNEMAN | ANIMATED BOOK SUMMARY | YEBOOK",09-04-2023,115400,7105,0,433,Apr
40,चालाकी से कैसे सोचते हैं? How to Think Clearly? 6 Thinking Methods for Clarity in Thoughts | Yebook,06-04-2023,72915,6088,0,654,Apr
41,Reality of Weak Males!,02-04-2023,160068,13991,0,1419,Apr
42,7 Types of Rest You Need to Recover Your Life | Saundra Dalton-Smith | Yebook,28-03-2023,70602,6295,0,711,Mar
43,अच्छे लोग रास्ते से हटा दिए जाते हैं! | The Prince by Niccolo Machiavelli | Book Summary in Hindi,26-03-2023,113919,9189,0,589,Mar
44,Keystone Habits कान्सेप्ट को समझ लो पहले जैसे नहीं रहोगे! | The Power of Habits by Charles Duhigg,25-03-2023,95751,7790,0,603,Mar
45,Simple Financial Model That Changed My Life | Yebook,21-03-2023,119510,9792,0,342,Mar
46,The Intelligent Investor Summary (BY BENJAMIN GRAHAM),17-03-2023,51897,3718,0,114,Mar
47,5 बातें सीख गए तो फोड़ दोगे! 5 Lessons from Do Epic Shit by Ankur Warikoo,12-03-2023,84930,7195,0,263,Mar
48,DOGLAPAN - The Hard Truth About Life and Start-Ups by Ashneer Grover | Book Summary in Hindi,07-03-2023,95993,6303,0,981,Mar
49,6 Brain Exercises to Strengthen Your Mind,03-03-2023,305917,19556,0,2314,Mar
50,शरीर की गंदगी साफ करें 1 दिन में | Detox Your Body in 1 Day,28-02-2023,1774802,48598,0,2271,Feb
51,चाणक्य की 5 बातें हमेशा याद रखना | Chanakya Niti by Yebook,23-02-2023,264635,11023,0,453,Feb
52,Time Manage करने का Best तरीका!,20-02-2023,65829,6049,0,855,Feb
53,4 घंटे का काम 1 घंटे में | How to Leverage 4 Key Hormones to Skyrocket Your Productivity and Focus,12-02-2023,62982,5369,0,331,Feb
54,Alpha Male कैसे बने और Alpha Male क्या होता है? Alpha Male बनने के 5 तरीके | The Way of Superior Man,06-02-2023,198188,13615,0,707,Feb
55,रोज़ सुबह सिर्फ 10 सेकंड - MORNING HABITS FOR HEALTHY MIND,25-01-2023,697400,32529,0,1599,Jan
56,6 Signs SHE Really Likes You | HIDDEN Signals of Attraction | Body Language Signs a Girl Likes You,08-01-2023,119421,6682,0,221,Jan
57,आपका खाना पच रहा है या सड़ रहा है? | how to improve digestion naturally at home | Ikigai | Yebook,01-01-2023,6761558,157253,0,6049,Jan
58,7 LESSONS Men Learn Too Late In LIFE,27-12-2022,284046,19490,0,1151,Dec
59,ये सीख गए तो किसी से टिप नहीं माँगोगे | How to Invest in Share Market | Learn to Invest in Stock,16-12-2022,67779,4171,0,377,Dec
60,How To Build Wealth Using SIP in Mutual Funds | SIP Investment in Hindi | Investing in Mutual Funds,03-12-2022,1486762,67624,0,4274,Dec
61,6 SKILLS Every Man Needs In LIFE,29-11-2022,797513,67117,0,5215,Nov
62,5 Psychological Rules For To Live A Happy Life | Psychology Facts | The Psychology of Happiness,27-11-2022,75633,5245,0,1159,Nov
63,चालाकी से पढ़ना सीखो | पढने का सही तरीका | How to Study in Exam Time in Hindi,25-11-2022,67631,5225,0,148,Nov
64,ऐसे मनवाओ अपनी बात | 5 Secret Psychological Tricks To Convince People To Do What You Want!,20-11-2022,99409,6828,0,518,Nov
65,ये कहानी कहानी आँखें खोल देगी | Who Moved My Cheese Animated Movie | Book Summary in Hindi,15-11-2022,128704,7149,0,955,Nov
66,No More Mr Nice Guy by Robert Glover | 5 Tips To Make Anyone Respect You |  yebook,13-11-2022,97290,6637,0,228,Nov
